"Time (CET)","Day-ahead Total Load Forecast [MW] - Greece (GR)","Actual Total Load [MW] - Greece (GR)"
"18.01.2018 18:00 - 18.01.2018 19:00","8020","7920"
"18.01.2018 19:00 - 18.01.2018 20:00","7931","7795"
"18.01.2018 20:00 - 18.01.2018 21:00","7411","7318"
"18.01.2018 21:00 - 18.01.2018 22:00","6771","6681"
"18.01.2018 22:00 - 18.01.2018 23:00","6340","6281"
"18.01.2018 23:00 - 19.01.2018 00:00","5581","5682"
"19.01.2018 00:00 - 19.01.2018 01:00","5082","5189"
"19.01.2018 01:00 - 19.01.2018 02:00","5032","5176"
"19.01.2018 02:00 - 19.01.2018 03:00","4871","4993"
"19.01.2018 03:00 - 19.01.2018 04:00","4801","4915"
"19.01.2018 04:00 - 19.01.2018 05:00","4900","5031"
"19.01.2018 05:00 - 19.01.2018 06:00","5430","5549"
"19.01.2018 06:00 - 19.01.2018 07:00","6329","6490"
"19.01.2018 07:00 - 19.01.2018 08:00","6820","6948"
"19.01.2018 08:00 - 19.01.2018 09:00","7234","7305"
"19.01.2018 09:00 - 19.01.2018 10:00","7296","7328"
"19.01.2018 10:00 - 19.01.2018 11:00","7214","7252"
"19.01.2018 11:00 - 19.01.2018 12:00","7159","7219"
"19.01.2018 12:00 - 19.01.2018 13:00","7039","7070"
"19.01.2018 13:00 - 19.01.2018 14:00","6766","6730"
"19.01.2018 14:00 - 19.01.2018 15:00","6962","6841"
"19.01.2018 15:00 - 19.01.2018 16:00","6920","6749"
"19.01.2018 16:00 - 19.01.2018 17:00","7133","6920"
"19.01.2018 17:00 - 19.01.2018 18:00","7761","7616"
"19.01.2018 18:00 - 19.01.2018 19:00","7851","7736"
"19.01.2018 19:00 - 19.01.2018 20:00","7732","7574"
"19.01.2018 20:00 - 19.01.2018 21:00","7232","7091"
"19.01.2018 21:00 - 19.01.2018 22:00","6602","6516"
"19.01.2018 22:00 - 19.01.2018 23:00","6191","6202"
"19.01.2018 23:00 - 20.01.2018 00:00","5695","5616"
"20.01.2018 00:00 - 20.01.2018 01:00","5204","5101"
"20.01.2018 01:00 - 20.01.2018 02:00","5174","5072"
"20.01.2018 02:00 - 20.01.2018 03:00","4983","4916"
"20.01.2018 03:00 - 20.01.2018 04:00","4854","4759"
"20.01.2018 04:00 - 20.01.2018 05:00","4873","4779"
"20.01.2018 05:00 - 20.01.2018 06:00","5092","4993"
"20.01.2018 06:00 - 20.01.2018 07:00","5460","5324"
"20.01.2018 07:00 - 20.01.2018 08:00","5980","5849"
"20.01.2018 08:00 - 20.01.2018 09:00","6519","6500"
"20.01.2018 09:00 - 20.01.2018 10:00","6739","6864"
"20.01.2018 10:00 - 20.01.2018 11:00","6758","6990"
"20.01.2018 11:00 - 20.01.2018 12:00","6777","7003"
"20.01.2018 12:00 - 20.01.2018 13:00","6724","6923"
"20.01.2018 13:00 - 20.01.2018 14:00","6440","6679"
"20.01.2018 14:00 - 20.01.2018 15:00","6579","6712"
"20.01.2018 15:00 - 20.01.2018 16:00","6618","6767"
"20.01.2018 16:00 - 20.01.2018 17:00","6815","6788"
"20.01.2018 17:00 - 20.01.2018 18:00","7374","7369"
"20.01.2018 18:00 - 20.01.2018 19:00","7454","7370"
"20.01.2018 19:00 - 20.01.2018 20:00","7286","7195"
"20.01.2018 20:00 - 20.01.2018 21:00","6875","6752"
"20.01.2018 21:00 - 20.01.2018 22:00","6335","6212"
"20.01.2018 22:00 - 20.01.2018 23:00","5986","5849"
"20.01.2018 23:00 - 21.01.2018 00:00","5368","5365"
"21.01.2018 00:00 - 21.01.2018 01:00","4917","4975"
"21.01.2018 01:00 - 21.01.2018 02:00","4837","4878"
"21.01.2018 02:00 - 21.01.2018 03:00","4636","4747"
"21.01.2018 03:00 - 21.01.2018 04:00","4477","4569"
"21.01.2018 04:00 - 21.01.2018 05:00","4467","4584"
"21.01.2018 05:00 - 21.01.2018 06:00","4585","4647"
"21.01.2018 06:00 - 21.01.2018 07:00","4782","4776"
"21.01.2018 07:00 - 21.01.2018 08:00","5153","5119"
"21.01.2018 08:00 - 21.01.2018 09:00","5670","5646"
"21.01.2018 09:00 - 21.01.2018 10:00","6112","6265"
"21.01.2018 10:00 - 21.01.2018 11:00","6456","6696"
"21.01.2018 11:00 - 21.01.2018 12:00","6570","6813"
"21.01.2018 12:00 - 21.01.2018 13:00","6389","6666"
"21.01.2018 13:00 - 21.01.2018 14:00","5993","6235"
"21.01.2018 14:00 - 21.01.2018 15:00","6159","6282"
"21.01.2018 15:00 - 21.01.2018 16:00","6243","6257"
"21.01.2018 16:00 - 21.01.2018 17:00","6460","6245"
"21.01.2018 17:00 - 21.01.2018 18:00","7039","6883"
"21.01.2018 18:00 - 21.01.2018 19:00","7180","7014"
"21.01.2018 19:00 - 21.01.2018 20:00","7092","6977"
"21.01.2018 20:00 - 21.01.2018 21:00","6851","6695"
"21.01.2018 21:00 - 21.01.2018 22:00","6369","6193"
"21.01.2018 22:00 - 21.01.2018 23:00","5930","5749"
"21.01.2018 23:00 - 22.01.2018 00:00","5188","5195"
"22.01.2018 00:00 - 22.01.2018 01:00","4706","4713"
"22.01.2018 01:00 - 22.01.2018 02:00","4677","4717"
"22.01.2018 02:00 - 22.01.2018 03:00","4515","4577"
"22.01.2018 03:00 - 22.01.2018 04:00","4435","4495"
"22.01.2018 04:00 - 22.01.2018 05:00","4556","4598"
"22.01.2018 05:00 - 22.01.2018 06:00","5114","5117"
"22.01.2018 06:00 - 22.01.2018 07:00","5965","6050"
"22.01.2018 07:00 - 22.01.2018 08:00","6551","6606"
"22.01.2018 08:00 - 22.01.2018 09:00","7112","7204"
"22.01.2018 09:00 - 22.01.2018 10:00","7293","7349"
"22.01.2018 10:00 - 22.01.2018 11:00","7353","7294"
"22.01.2018 11:00 - 22.01.2018 12:00","7438","7268"
"22.01.2018 12:00 - 22.01.2018 13:00","7398","7072"
"22.01.2018 13:00 - 22.01.2018 14:00","7178","6910"
"22.01.2018 14:00 - 22.01.2018 15:00","7375","7016"
"22.01.2018 15:00 - 22.01.2018 16:00","7338","6956"
"22.01.2018 16:00 - 22.01.2018 17:00","7495","6977"
"22.01.2018 17:00 - 22.01.2018 18:00","7979","7662"
"22.01.2018 18:00 - 22.01.2018 19:00","8040","7801"
"22.01.2018 19:00 - 22.01.2018 20:00","7911","7713"
"22.01.2018 20:00 - 22.01.2018 21:00","7430","7333"
"22.01.2018 21:00 - 22.01.2018 22:00","6730","6619"
"22.01.2018 22:00 - 22.01.2018 23:00","6340","6229"
"22.01.2018 23:00 - 23.01.2018 00:00","5583","5618"
"23.01.2018 00:00 - 23.01.2018 01:00","5102","5090"
"23.01.2018 01:00 - 23.01.2018 02:00","5071","5026"
"23.01.2018 02:00 - 23.01.2018 03:00","4900","4888"
"23.01.2018 03:00 - 23.01.2018 04:00","4810","4836"
"23.01.2018 04:00 - 23.01.2018 05:00","4910","4955"
"23.01.2018 05:00 - 23.01.2018 06:00","5460","5479"
"23.01.2018 06:00 - 23.01.2018 07:00","6391","6420"
"23.01.2018 07:00 - 23.01.2018 08:00","6977","6901"
"23.01.2018 08:00 - 23.01.2018 09:00","7414","7455"
"23.01.2018 09:00 - 23.01.2018 10:00","7573","7588"
"23.01.2018 10:00 - 23.01.2018 11:00","7585","7558"
"23.01.2018 11:00 - 23.01.2018 12:00","7645","7530"
"23.01.2018 12:00 - 23.01.2018 13:00","7543","7425"
"23.01.2018 13:00 - 23.01.2018 14:00","7281","7222"
"23.01.2018 14:00 - 23.01.2018 15:00","7485","7320"
"23.01.2018 15:00 - 23.01.2018 16:00","7478","7292"
"23.01.2018 16:00 - 23.01.2018 17:00","7632","7419"
"23.01.2018 17:00 - 23.01.2018 18:00","8204","8051"
"23.01.2018 18:00 - 23.01.2018 19:00","8384","8126"
"23.01.2018 19:00 - 23.01.2018 20:00","8256","7982"
"23.01.2018 20:00 - 23.01.2018 21:00","7684","7485"
"23.01.2018 21:00 - 23.01.2018 22:00","7014","6758"
"23.01.2018 22:00 - 23.01.2018 23:00","6485","6374"
"23.01.2018 23:00 - 24.01.2018 00:00","5713","5689"
"24.01.2018 00:00 - 24.01.2018 01:00","5202","5103"
"24.01.2018 01:00 - 24.01.2018 02:00","5151","4980"
"24.01.2018 02:00 - 24.01.2018 03:00","5001","4889"
"24.01.2018 03:00 - 24.01.2018 04:00","4921","4810"
"24.01.2018 04:00 - 24.01.2018 05:00","5021","4947"
"24.01.2018 05:00 - 24.01.2018 06:00","5579","5524"
"24.01.2018 06:00 - 24.01.2018 07:00","6505","6481"
"24.01.2018 07:00 - 24.01.2018 08:00","7071","7172"
"24.01.2018 08:00 - 24.01.2018 09:00","7630","7816"
"24.01.2018 09:00 - 24.01.2018 10:00","7810","7964"
"24.01.2018 10:00 - 24.01.2018 11:00","7800","7889"
"24.01.2018 11:00 - 24.01.2018 12:00","7817","7840"
"24.01.2018 12:00 - 24.01.2018 13:00","7712","7759"
"24.01.2018 13:00 - 24.01.2018 14:00","7467","7530"
"24.01.2018 14:00 - 24.01.2018 15:00","7655","7693"
"24.01.2018 15:00 - 24.01.2018 16:00","7643","7637"
"24.01.2018 16:00 - 24.01.2018 17:00","7672","7613"
"24.01.2018 17:00 - 24.01.2018 18:00","8265","8272"
"24.01.2018 18:00 - 24.01.2018 19:00","8465","8353"
"24.01.2018 19:00 - 24.01.2018 20:00","8326","8164"
"24.01.2018 20:00 - 24.01.2018 21:00","7806","7803"
"24.01.2018 21:00 - 24.01.2018 22:00","7056","7080"
"24.01.2018 22:00 - 24.01.2018 23:00","6547","6666"
"24.01.2018 23:00 - 25.01.2018 00:00","5827","5996"
"25.01.2018 00:00 - 25.01.2018 01:00","5305","5384"
"25.01.2018 01:00 - 25.01.2018 02:00","5264","5326"
"25.01.2018 02:00 - 25.01.2018 03:00","5094","5135"
"25.01.2018 03:00 - 25.01.2018 04:00","5004","5027"
"25.01.2018 04:00 - 25.01.2018 05:00","5114","5182"
"25.01.2018 05:00 - 25.01.2018 06:00","5663","5681"
"25.01.2018 06:00 - 25.01.2018 07:00","6626","6689"
"25.01.2018 07:00 - 25.01.2018 08:00","7311","7255"
"25.01.2018 08:00 - 25.01.2018 09:00","7928","7758"
"25.01.2018 09:00 - 25.01.2018 10:00","8089","7866"
"25.01.2018 10:00 - 25.01.2018 11:00","8127","7909"
"25.01.2018 11:00 - 25.01.2018 12:00","8158","7965"
"25.01.2018 12:00 - 25.01.2018 13:00","8063","7840"
"25.01.2018 13:00 - 25.01.2018 14:00","7765","7574"
"25.01.2018 14:00 - 25.01.2018 15:00","7879","7589"
"25.01.2018 15:00 - 25.01.2018 16:00","7763","7527"
"25.01.2018 16:00 - 25.01.2018 17:00","7780","7615"
"25.01.2018 17:00 - 25.01.2018 18:00","8408","8386"
"25.01.2018 18:00 - 25.01.2018 19:00","8559","8542"
"25.01.2018 19:00 - 25.01.2018 20:00","8380","8412"
"25.01.2018 20:00 - 25.01.2018 21:00","7829","7923"
"25.01.2018 21:00 - 25.01.2018 22:00","7128","7191"
"25.01.2018 22:00 - 25.01.2018 23:00","6620","6734"
"25.01.2018 23:00 - 26.01.2018 00:00","6070","6077"
"26.01.2018 00:00 - 26.01.2018 01:00","5449","5451"
"26.01.2018 01:00 - 26.01.2018 02:00","5390","5388"
"26.01.2018 02:00 - 26.01.2018 03:00","5218","5216"
"26.01.2018 03:00 - 26.01.2018 04:00","5097","5129"
"26.01.2018 04:00 - 26.01.2018 05:00","5239","5240"
"26.01.2018 05:00 - 26.01.2018 06:00","5757","5791"
"26.01.2018 06:00 - 26.01.2018 07:00","6723","6712"
"26.01.2018 07:00 - 26.01.2018 08:00","7331","7200"
"26.01.2018 08:00 - 26.01.2018 09:00","7945","7679"
"26.01.2018 09:00 - 26.01.2018 10:00","8081","7807"
"26.01.2018 10:00 - 26.01.2018 11:00","8015","7749"
"26.01.2018 11:00 - 26.01.2018 12:00","7983","7648"
"26.01.2018 12:00 - 26.01.2018 13:00","7855","7506"
"26.01.2018 13:00 - 26.01.2018 14:00","7566","7291"
"26.01.2018 14:00 - 26.01.2018 15:00","7683","7419"
"26.01.2018 15:00 - 26.01.2018 16:00","7667","7339"
"26.01.2018 16:00 - 26.01.2018 17:00","7781","7450"
"26.01.2018 17:00 - 26.01.2018 18:00","8431","8248"
"26.01.2018 18:00 - 26.01.2018 19:00","8531","8357"
"26.01.2018 19:00 - 26.01.2018 20:00","8341","8200"
"26.01.2018 20:00 - 26.01.2018 21:00","7822","7719"
"26.01.2018 21:00 - 26.01.2018 22:00","7152","7108"
"26.01.2018 22:00 - 26.01.2018 23:00","6732","6724"
"26.01.2018 23:00 - 27.01.2018 00:00","6085","6090"
"27.01.2018 00:00 - 27.01.2018 01:00","5464","5626"
"27.01.2018 01:00 - 27.01.2018 02:00","5394","5516"
"27.01.2018 02:00 - 27.01.2018 03:00","5213","5324"
"27.01.2018 03:00 - 27.01.2018 04:00","5082","5180"
"27.01.2018 04:00 - 27.01.2018 05:00","5093","5191"
"27.01.2018 05:00 - 27.01.2018 06:00","5291","5426"
"27.01.2018 06:00 - 27.01.2018 07:00","5668","5767"
"27.01.2018 07:00 - 27.01.2018 08:00","6256","6308"
"27.01.2018 08:00 - 27.01.2018 09:00","6818","7006"
"27.01.2018 09:00 - 27.01.2018 10:00","7109","7275"
"27.01.2018 10:00 - 27.01.2018 11:00","7151","7364"
"27.01.2018 11:00 - 27.01.2018 12:00","7157","7369"
"27.01.2018 12:00 - 27.01.2018 13:00","7080","7290"
"27.01.2018 13:00 - 27.01.2018 14:00","6792","6938"
"27.01.2018 14:00 - 27.01.2018 15:00","6935","7005"
"27.01.2018 15:00 - 27.01.2018 16:00","6959","6926"
"27.01.2018 16:00 - 27.01.2018 17:00","7110","6992"
"27.01.2018 17:00 - 27.01.2018 18:00","7815","7778"
"27.01.2018 18:00 - 27.01.2018 19:00","7966","7897"
"27.01.2018 19:00 - 27.01.2018 20:00","7766","7754"
"27.01.2018 20:00 - 27.01.2018 21:00","7266","7318"
"27.01.2018 21:00 - 27.01.2018 22:00","6666","6717"
"27.01.2018 22:00 - 27.01.2018 23:00","6277","6376"
"27.01.2018 23:00 - 28.01.2018 00:00","5820","5824"
"28.01.2018 00:00 - 28.01.2018 01:00","5360","5387"
"28.01.2018 01:00 - 28.01.2018 02:00","5271","5283"
"28.01.2018 02:00 - 28.01.2018 03:00","5070","5062"
"28.01.2018 03:00 - 28.01.2018 04:00","4910","4910"
"28.01.2018 04:00 - 28.01.2018 05:00","4890","4881"
"28.01.2018 05:00 - 28.01.2018 06:00","5008","4994"
"28.01.2018 06:00 - 28.01.2018 07:00","5211","5210"
"28.01.2018 07:00 - 28.01.2018 08:00","5565","5579"
"28.01.2018 08:00 - 28.01.2018 09:00","6036","6056"
"28.01.2018 09:00 - 28.01.2018 10:00","6458","6451"
"28.01.2018 10:00 - 28.01.2018 11:00","6761","6742"
"28.01.2018 11:00 - 28.01.2018 12:00","6827","6786"
"28.01.2018 12:00 - 28.01.2018 13:00","6622","6593"
"28.01.2018 13:00 - 28.01.2018 14:00","6215","6173"
"28.01.2018 14:00 - 28.01.2018 15:00","6250","6188"
"28.01.2018 15:00 - 28.01.2018 16:00","6280","6107"
"28.01.2018 16:00 - 28.01.2018 17:00","6418","6228"
"28.01.2018 17:00 - 28.01.2018 18:00","7082","7147"
"28.01.2018 18:00 - 28.01.2018 19:00","7413","7376"
"28.01.2018 19:00 - 28.01.2018 20:00","7353","7390"
"28.01.2018 20:00 - 28.01.2018 21:00","7112","7170"
"28.01.2018 21:00 - 28.01.2018 22:00","6612","6677"
"28.01.2018 22:00 - 28.01.2018 23:00","6213","6255"
"28.01.2018 23:00 - 29.01.2018 00:00","5540","5516"
"29.01.2018 00:00 - 29.01.2018 01:00","5039","5005"
"29.01.2018 01:00 - 29.01.2018 02:00","5009","4992"
"29.01.2018 02:00 - 29.01.2018 03:00","4838","4862"
"29.01.2018 03:00 - 29.01.2018 04:00","4738","4797"
"29.01.2018 04:00 - 29.01.2018 05:00","4858","4937"
"29.01.2018 05:00 - 29.01.2018 06:00","5337","5474"
"29.01.2018 06:00 - 29.01.2018 07:00","6220","6402"
"29.01.2018 07:00 - 29.01.2018 08:00","6714","6957"
"29.01.2018 08:00 - 29.01.2018 09:00","7189","7470"
"29.01.2018 09:00 - 29.01.2018 10:00","7264","7497"
"29.01.2018 10:00 - 29.01.2018 11:00","7214","7393"
"29.01.2018 11:00 - 29.01.2018 12:00","7178","7259"
"29.01.2018 12:00 - 29.01.2018 13:00","7109","7143"
"29.01.2018 13:00 - 29.01.2018 14:00","6888","6940"
"29.01.2018 14:00 - 29.01.2018 15:00","6993","6993"
"29.01.2018 15:00 - 29.01.2018 16:00","6931","6881"
"29.01.2018 16:00 - 29.01.2018 17:00","7062","6965"
"29.01.2018 17:00 - 29.01.2018 18:00","7741","7814"
"29.01.2018 18:00 - 29.01.2018 19:00","7941","8008"
"29.01.2018 19:00 - 29.01.2018 20:00","7891","7919"
"29.01.2018 20:00 - 29.01.2018 21:00","7471","7521"
"29.01.2018 21:00 - 29.01.2018 22:00","6791","6873"
"29.01.2018 22:00 - 29.01.2018 23:00","6331","6449"
"29.01.2018 23:00 - 30.01.2018 00:00","5675","5837"
"30.01.2018 00:00 - 30.01.2018 01:00","5184","5240"
"30.01.2018 01:00 - 30.01.2018 02:00","5164","5169"
"30.01.2018 02:00 - 30.01.2018 03:00","4993","5039"
"30.01.2018 03:00 - 30.01.2018 04:00","4883","4933"
"30.01.2018 04:00 - 30.01.2018 05:00","5002","5079"
"30.01.2018 05:00 - 30.01.2018 06:00","5542","5543"
"30.01.2018 06:00 - 30.01.2018 07:00","6486","6260"
"30.01.2018 07:00 - 30.01.2018 08:00","7054","6879"
"30.01.2018 08:00 - 30.01.2018 09:00","7395","7313"
"30.01.2018 09:00 - 30.01.2018 10:00","7366","7401"
"30.01.2018 10:00 - 30.01.2018 11:00","7224","7349"
"30.01.2018 11:00 - 30.01.2018 12:00","7143","7270"
"30.01.2018 12:00 - 30.01.2018 13:00","7020","7145"
"30.01.2018 13:00 - 30.01.2018 14:00","6780","6850"
"30.01.2018 14:00 - 30.01.2018 15:00","6918","6883"
"30.01.2018 15:00 - 30.01.2018 16:00","6987","6739"
"30.01.2018 16:00 - 30.01.2018 17:00","7151","6805"
"30.01.2018 17:00 - 30.01.2018 18:00","7935","7697"
"30.01.2018 18:00 - 30.01.2018 19:00","8036","7927"
"30.01.2018 19:00 - 30.01.2018 20:00","7886","7826"
"30.01.2018 20:00 - 30.01.2018 21:00","7406","7386"
"30.01.2018 21:00 - 30.01.2018 22:00","6805","6702"
"30.01.2018 22:00 - 30.01.2018 23:00","6386","6318"
"30.01.2018 23:00 - 31.01.2018 00:00","5730","5708"
"31.01.2018 00:00 - 31.01.2018 01:00","5149","5190"
"31.01.2018 01:00 - 31.01.2018 02:00","5089","5133"
"31.01.2018 02:00 - 31.01.2018 03:00","4958","4956"
"31.01.2018 03:00 - 31.01.2018 04:00","4828","4842"
"31.01.2018 04:00 - 31.01.2018 05:00","4978","4991"
"31.01.2018 05:00 - 31.01.2018 06:00","5447","5510"
"31.01.2018 06:00 - 31.01.2018 07:00","6244","6394"
"31.01.2018 07:00 - 31.01.2018 08:00","6892","6879"
"31.01.2018 08:00 - 31.01.2018 09:00","7248","7286"
"31.01.2018 09:00 - 31.01.2018 10:00","7205","7274"
"31.01.2018 10:00 - 31.01.2018 11:00","7120","7156"
"31.01.2018 11:00 - 31.01.2018 12:00","7081","7012"
"31.01.2018 12:00 - 31.01.2018 13:00","6963","6868"
"31.01.2018 13:00 - 31.01.2018 14:00","6751","6622"
"31.01.2018 14:00 - 31.01.2018 15:00","6863","6667"
"31.01.2018 15:00 - 31.01.2018 16:00","6847","6574"
"31.01.2018 16:00 - 31.01.2018 17:00","6985","6641"
"31.01.2018 17:00 - 31.01.2018 18:00","7830","7511"
"31.01.2018 18:00 - 31.01.2018 19:00","8030","7734"
"31.01.2018 19:00 - 31.01.2018 20:00","7920","7695"
"31.01.2018 20:00 - 31.01.2018 21:00","7530","7375"
"31.01.2018 21:00 - 31.01.2018 22:00","6880","6669"
"31.01.2018 22:00 - 31.01.2018 23:00","6450","6311"
"31.01.2018 23:00 - 01.02.2018 00:00","5648","5680"
"01.02.2018 00:00 - 01.02.2018 01:00","5138","5123"
"01.02.2018 01:00 - 01.02.2018 02:00","5077","5051"
"01.02.2018 02:00 - 01.02.2018 03:00","4887","4870"
"01.02.2018 03:00 - 01.02.2018 04:00","4797","4766"
"01.02.2018 04:00 - 01.02.2018 05:00","4907","4875"
"01.02.2018 05:00 - 01.02.2018 06:00","5425","5425"
"01.02.2018 06:00 - 01.02.2018 07:00","6313","6211"
"01.02.2018 07:00 - 01.02.2018 08:00","6828","6636"
"01.02.2018 08:00 - 01.02.2018 09:00","7113","7051"
"01.02.2018 09:00 - 01.02.2018 10:00","7221","7086"
"01.02.2018 10:00 - 01.02.2018 11:00","7210","7045"
"01.02.2018 11:00 - 01.02.2018 12:00","7187","6982"
"01.02.2018 12:00 - 01.02.2018 13:00","7067","6813"
"01.02.2018 13:00 - 01.02.2018 14:00","6779","6557"
"01.02.2018 14:00 - 01.02.2018 15:00","6872","6583"
"01.02.2018 15:00 - 01.02.2018 16:00","6840","6454"
"01.02.2018 16:00 - 01.02.2018 17:00","6938","6580"
"01.02.2018 17:00 - 01.02.2018 18:00","7729","7353"
"01.02.2018 18:00 - 01.02.2018 19:00","7948","7536"
"01.02.2018 19:00 - 01.02.2018 20:00","7828","7507"
"01.02.2018 20:00 - 01.02.2018 21:00","7379","7086"
"01.02.2018 21:00 - 01.02.2018 22:00","6688","6469"
"01.02.2018 22:00 - 01.02.2018 23:00","6298","6083"
"01.02.2018 23:00 - 02.02.2018 00:00","5607","5427"
"02.02.2018 00:00 - 02.02.2018 01:00","5085","4931"
"02.02.2018 01:00 - 02.02.2018 02:00","5016","4841"
"02.02.2018 02:00 - 02.02.2018 03:00","4835","4714"
"02.02.2018 03:00 - 02.02.2018 04:00","4745","4585"
"02.02.2018 04:00 - 02.02.2018 05:00","4855","4688"
"02.02.2018 05:00 - 02.02.2018 06:00","5394","5161"
"02.02.2018 06:00 - 02.02.2018 07:00","6214","5947"
"02.02.2018 07:00 - 02.02.2018 08:00","6697","6379"
"02.02.2018 08:00 - 02.02.2018 09:00","7020","6828"
"02.02.2018 09:00 - 02.02.2018 10:00","7097","7021"
"02.02.2018 10:00 - 02.02.2018 11:00","7042","7077"
"02.02.2018 11:00 - 02.02.2018 12:00","6983","7084"
"02.02.2018 12:00 - 02.02.2018 13:00","6895","7031"
"02.02.2018 13:00 - 02.02.2018 14:00","6675","6794"
"02.02.2018 14:00 - 02.02.2018 15:00","6780","6941"
"02.02.2018 15:00 - 02.02.2018 16:00","6718","6889"
"02.02.2018 16:00 - 02.02.2018 17:00","6898","6847"
"02.02.2018 17:00 - 02.02.2018 18:00","7597","7367"
"02.02.2018 18:00 - 02.02.2018 19:00","7776","7474"
"02.02.2018 19:00 - 02.02.2018 20:00","7726","7329"
"02.02.2018 20:00 - 02.02.2018 21:00","7396","6936"
"02.02.2018 21:00 - 02.02.2018 22:00","6685","6318"
"02.02.2018 22:00 - 02.02.2018 23:00","6285","5970"
"02.02.2018 23:00 - 03.02.2018 00:00","5458","5411"
"03.02.2018 00:00 - 03.02.2018 01:00","5015","4972"
"03.02.2018 01:00 - 03.02.2018 02:00","4956","4948"
"03.02.2018 02:00 - 03.02.2018 03:00","4766","4705"
"03.02.2018 03:00 - 03.02.2018 04:00","4655","4530"
"03.02.2018 04:00 - 03.02.2018 05:00","4675","4554"
"03.02.2018 05:00 - 03.02.2018 06:00","4895","4700"
"03.02.2018 06:00 - 03.02.2018 07:00","5235","4963"
"03.02.2018 07:00 - 03.02.2018 08:00","5789","5514"
"03.02.2018 08:00 - 03.02.2018 09:00","6373","6212"
"03.02.2018 09:00 - 03.02.2018 10:00","6654","6550"
"03.02.2018 10:00 - 03.02.2018 11:00","6704","6777"
"03.02.2018 11:00 - 03.02.2018 12:00","6721","6900"
"03.02.2018 12:00 - 03.02.2018 13:00","6672","6824"
"03.02.2018 13:00 - 03.02.2018 14:00","6323","6387"
"03.02.2018 14:00 - 03.02.2018 15:00","6346","6383"
"03.02.2018 15:00 - 03.02.2018 16:00","6258","6408"
"03.02.2018 16:00 - 03.02.2018 17:00","6298","6382"
"03.02.2018 17:00 - 03.02.2018 18:00","7007","6917"
"03.02.2018 18:00 - 03.02.2018 19:00","7226","7041"
"03.02.2018 19:00 - 03.02.2018 20:00","7096","6898"
"03.02.2018 20:00 - 03.02.2018 21:00","6695","6498"
"03.02.2018 21:00 - 03.02.2018 22:00","6165","5972"
"03.02.2018 22:00 - 03.02.2018 23:00","5817","5576"
"03.02.2018 23:00 - 04.02.2018 00:00","5177","5072"
"04.02.2018 00:00 - 04.02.2018 01:00","4776","4688"
"04.02.2018 01:00 - 04.02.2018 02:00","4695","4614"
"04.02.2018 02:00 - 04.02.2018 03:00","4504","4410"
"04.02.2018 03:00 - 04.02.2018 04:00","4374","4246"
"04.02.2018 04:00 - 04.02.2018 05:00","4346","4206"
"04.02.2018 05:00 - 04.02.2018 06:00","4444","4334"
"04.02.2018 06:00 - 04.02.2018 07:00","4604","4492"
"04.02.2018 07:00 - 04.02.2018 08:00","4942","4836"
"04.02.2018 08:00 - 04.02.2018 09:00","5455","5417"
"04.02.2018 09:00 - 04.02.2018 10:00","5931","5988"
"04.02.2018 10:00 - 04.02.2018 11:00","6274","6398"
"04.02.2018 11:00 - 04.02.2018 12:00","6393","6479"
"04.02.2018 12:00 - 04.02.2018 13:00","6198","6268"
"04.02.2018 13:00 - 04.02.2018 14:00","5748","5708"
"04.02.2018 14:00 - 04.02.2018 15:00","5750","5759"
"04.02.2018 15:00 - 04.02.2018 16:00","5680","5653"
"04.02.2018 16:00 - 04.02.2018 17:00","5792","5601"
"04.02.2018 17:00 - 04.02.2018 18:00","6445","6365"
"04.02.2018 18:00 - 04.02.2018 19:00","6675","6688"
"04.02.2018 19:00 - 04.02.2018 20:00","6674","6713"
"04.02.2018 20:00 - 04.02.2018 21:00","6455","6552"
"04.02.2018 21:00 - 04.02.2018 22:00","5995","6117"
"04.02.2018 22:00 - 04.02.2018 23:00","5626","5656"
"04.02.2018 23:00 - 05.02.2018 00:00","5053","5109"
"05.02.2018 00:00 - 05.02.2018 01:00","4653","4615"
"05.02.2018 01:00 - 05.02.2018 02:00","4601","4554"
"05.02.2018 02:00 - 05.02.2018 03:00","4482","4430"
"05.02.2018 03:00 - 05.02.2018 04:00","4400","4362"
"05.02.2018 04:00 - 05.02.2018 05:00","4501","4504"
"05.02.2018 05:00 - 05.02.2018 06:00","4949","5070"
"05.02.2018 06:00 - 05.02.2018 07:00","5742","5926"
"05.02.2018 07:00 - 05.02.2018 08:00","6382","6375"
"05.02.2018 08:00 - 05.02.2018 09:00","6836","6769"
"05.02.2018 09:00 - 05.02.2018 10:00","6969","6714"
"05.02.2018 10:00 - 05.02.2018 11:00","6857","6635"
"05.02.2018 11:00 - 05.02.2018 12:00","6766","6592"
"05.02.2018 12:00 - 05.02.2018 13:00","6691","6535"
"05.02.2018 13:00 - 05.02.2018 14:00","6551","6423"
"05.02.2018 14:00 - 05.02.2018 15:00","6674","6522"
"05.02.2018 15:00 - 05.02.2018 16:00","6687","6369"
"05.02.2018 16:00 - 05.02.2018 17:00","6831","6351"
"05.02.2018 17:00 - 05.02.2018 18:00","7531","7119"
"05.02.2018 18:00 - 05.02.2018 19:00","7701","7440"
"05.02.2018 19:00 - 05.02.2018 20:00","7600","7423"
"05.02.2018 20:00 - 05.02.2018 21:00","7150","7101"
